River,Area (km²),Relief (km),Temp (°C),Q (km³/yr),Q (m³/s),Runoff (m/yr),Qs (MT/yr),Yield (T/km²/yr),Glacier area (%),Lithology,1-TE,Erosion
Abitibi,"15,813.00",0.38,0.00,11.90,378.00,0.75,0.10,9.00,0.00,1.00,1.00,1.00
Adige (Italy),"12,000.00",1.59,10.50,7.10,224.00,0.59,1.60,133.00,0.00,1.00,0.80,1.00
Adour,"7,830.00",3.05,12.00,2.40,75.00,0.30,0.30,37.00,0.00,0.50,0.90,0.30
Agno (Philippines),"2,210.00",1.50,22.90,6.70,211.00,3.01,5.00,"2,255.00",0.00,1.00,1.00,2.00
Agrioun (Algeria),660.00,2.30,15.80,0.20,5.00,0.24,4.80,"7,215.00",0.00,2.00,1.00,2.00
Alabama,"124,158.00",1.17,17.00,28.40,902.00,0.23,2.30,19.00,0.00,1.00,0.70,0.30
Alazeya,"59,716.00",0.82,-14.00,8.80,279.00,0.15,0.70,12.00,0.00,2.00,1.00,1.00
Altamaha,"41,580.00",0.49,18.00,11.90,378.00,0.29,2.50,60.00,0.00,1.00,1.00,1.00
Amazon,"5,853,804.00",5.50,22.00,"6,265.40","198,676.00",1.07,"1,193.40",204.00,0.00,1.00,1.00,1.00
Amgyema (Russia),"22,513.00",1.62,-11.00,9.20,291.00,0.41,0.90,38.00,0.00,1.50,1.00,1.00
Amur,"1,754,681.00",2.51,-7.00,348.20,"11,040.00",0.20,52.00,30.00,0.00,2.00,1.00,1.00
Anabar (Russia),"98,943.00",0.89,-14.00,17.00,539.00,0.17,0.40,4.00,0.00,1.50,1.00,1.00
Angat (Philippines),780.00,1.50,22.00,1.60,49.00,2.00,4.60,"5,862.00",0.00,2.00,1.00,2.00
Apalachicola,"54,830.00",1.27,16.00,20.70,655.00,0.38,1.70,32.00,0.00,1.50,0.50,0.30
Arno (Italy),"8,100.00",1.37,14.00,1.80,57.00,0.22,2.20,273.00,0.00,2.00,0.80,1.00
Arrzilla (Italy),100.00,0.75,14.00,0.10,2.00,0.50,0.10,"1,261.00",0.00,2.00,1.00,1.00
Aso (Italy),280.00,2.48,9.30,0.10,2.00,0.23,0.20,676.00,0.00,1.50,1.00,1.00
Attawapiskat,"58,366.00",0.47,-2.00,19.70,626.00,0.34,0.20,3.00,0.00,1.00,0.50,1.00
Avon (UK),"2,600.00",0.20,9.10,0.60,20.00,0.24,0.00,12.00,0.00,1.00,1.00,0.30
Baffle Creek (Australia),"3,900.00",1.20,22.00,0.70,22.00,0.18,0.40,102.00,0.00,1.00,1.00,1.00
Black (Australia),"1,100.00",1.00,25.50,0.50,16.00,0.46,0.20,172.00,0.00,0.50,1.00,1.00
Bou Namoussa (Algeria),570.00,1.20,16.30,0.20,5.00,0.28,0.20,332.00,0.00,2.00,0.50,1.00
Bou Selham (Morocco),"2,300.00",1.60,17.00,0.10,2.00,0.03,0.20,96.00,0.00,0.50,1.00,1.00
Boyne (Australia),"2,500.00",1.20,22.50,0.40,13.00,0.16,0.30,120.00,0.00,0.50,1.00,1.00
Brazos,"115,040.00",1.63,19.00,6.00,189.00,0.05,9.10,79.00,0.00,1.50,0.75,1.00
Bristol Avon (UK),670.00,0.05,9.10,0.30,9.00,0.42,0.00,47.00,0.00,2.00,1.00,1.00
Buller (New Zealand),"6,350.00",2.33,6.80,12.90,410.00,2.04,2.70,422.00,0.00,2.00,1.00,1.00
Burdekin (Australia),"121,214.00",1.02,23.00,9.90,315.00,0.08,3.00,25.00,0.00,1.00,0.30,1.00
Burnett,"33,000.00",1.10,20.50,1.70,54.00,0.05,0.70,21.00,0.00,0.50,0.70,1.00
Burrum (Australia),"3,300.00",0.80,23.40,0.70,22.00,0.21,0.30,91.00,0.00,0.50,1.00,1.00
Calliope (Australia),"2,300.00",1.00,23.40,0.30,10.00,0.13,0.20,82.00,0.00,0.50,1.00,1.00
Cape Fear (USA),"8,910.00",0.34,16.30,3.00,96.00,0.34,0.30,32.00,0.00,0.50,1.00,1.00
Carmel (USA),630.00,1.50,15.60,0.10,3.00,0.16,0.40,651.00,0.00,2.00,1.00,1.00
Ceyhan,"21,201.00",2.76,12.00,7.00,222.00,0.33,4.80,225.00,0.00,2.00,0.50,1.00
Chao Phraya,"141,830.00",1.90,26.00,30.40,963.00,0.21,11.00,78.00,0.00,0.75,0.80,1.00
Chelliff,"57,982.00",1.70,15.00,1.30,41.00,0.02,4.00,69.00,0.00,1.00,1.00,1.00
Chienti (Italy),"1,300.00",1.80,14.50,0.20,8.00,0.19,1.30,995.00,0.00,1.00,1.00,1.00
Chira (Peru),"20,000.00",3.81,18.90,5.00,158.00,0.25,20.00,"1,000.00",0.00,2.00,1.00,1.00
Chishui (Taiwan),410.00,0.55,16.80,0.50,16.00,1.26,2.10,"5,077.00",0.00,2.00,1.00,2.00
Chorokhi,"22,030.00",3.49,7.00,8.90,283.00,0.41,8.00,364.00,0.00,1.50,1.00,2.00
Choshui (Taiwan) Jhuo-Shuei,"2,975.00",3.42,17.00,6.00,190.00,2.01,38.00,"12,763.00",0.00,2.00,1.00,2.00
Cijolang (India),380.00,0.82,20.00,0.70,22.00,1.83,0.70,"1,909.00",0.00,1.50,1.00,2.00
Cilulung (India),600.00,2.82,22.00,0.90,30.00,1.58,4.80,"7,937.00",0.00,1.50,1.00,2.00
Cimanuk (India),"4,200.00",3.10,22.00,4.40,139.00,1.04,19.90,"4,738.00",0.00,1.50,1.00,2.00
Cimuntur (India),580.00,0.82,22.00,0.90,30.00,1.63,1.90,"3,262.00",0.00,1.00,1.00,2.00
Citanduy (India),"3,560.00",2.80,22.00,6.10,192.00,1.70,9.50,"2,666.00",0.00,1.00,1.00,2.00
Cleddau (New Zealand),160.00,1.90,10.30,1.00,31.00,6.11,2.00,"12,417.00",20.00,2.00,1.00,1.00
Colorado (Texas),"101,178.00",1.36,18.00,2.40,76.00,0.02,1.40,14.00,0.00,1.50,0.30,1.00
Colorado (Mexico),"637,573.00",3.70,12.00,21.90,694.00,0.03,119.90,188.00,0.00,2.00,1.00,1.00
Columbia,"670,973.00",2.80,4.00,238.70,"7,568.00",0.36,15.00,22.00,0.00,0.75,1.00,1.00
Colville,"60,433.00",2.20,-10.00,24.90,788.00,0.41,6.00,99.00,0.00,2.00,1.00,1.00
Copper (USA),"61,804.00",5.92,2.00,95.50,"3,027.00",1.54,69.90,"1,132.00",25.00,2.00,1.00,1.00
Crati (Italy),"1,300.00",1.40,11.70,0.90,27.00,0.65,1.20,922.00,0.00,2.00,1.00,1.00
Daintree (Australia),"2,100.00",1.40,24.90,3.60,115.00,1.73,1.20,571.00,0.00,0.75,0.80,1.00
Danodar,"22,662.00",0.80,26.00,9.30,296.00,0.41,28.00,"1,234.00",0.00,2.00,1.00,1.00
Danube,"779,002.00",4.10,5.10,202.50,"6,420.00",0.26,66.60,85.00,1.00,1.50,1.00,1.00
Derwent (Australia),"7,764.00",0.70,6.30,4.40,138.00,0.56,0.10,16.00,0.00,0.50,1.00,1.00
Devakani (Turkey),"1,100.00",1.70,8.10,0.30,8.00,0.23,0.20,172.00,0.00,1.00,0.80,1.00
Dnieper,"495,839.00",0.30,7.00,42.90,"1,360.00",0.09,2.30,5.00,0.00,2.00,1.00,1.00
Dniestr,"71,995.00",1.69,8.00,9.20,293.00,0.13,3.00,41.00,0.00,1.00,0.70,1.00
Don (Russia),"423,038.00",0.79,7.00,26.20,832.00,0.06,6.30,15.00,0.00,2.00,0.50,1.00
Drini (Albania),"13,000.00",2.26,12.00,11.90,378.00,0.92,15.00,"1,152.00",0.00,1.50,1.00,2.00
Ebro,"85,000.00",3.34,12.80,45.40,"1,440.00",0.53,18.20,214.00,0.00,2.00,0.70,0.30
Eel,"8,500.00",2.08,11.20,7.40,235.00,0.87,17.60,"2,070.00",0.00,3.00,1.00,2.00
Ekalugad Fjord (Canada),380.00,1.06,-10.00,0.20,7.00,0.58,0.30,664.00,30.00,2.00,1.00,1.00
El Harrach (Algeria),390.00,1.86,14.90,0.10,4.00,0.32,0.60,"1,617.00",0.00,2.00,1.00,1.00
Elbe,"148,530.00",1.46,8.00,23.20,735.00,0.16,0.90,6.00,0.00,1.50,0.50,0.30
Ely Ouse (UK),"3,600.00",0.05,8.60,1.00,31.00,0.27,0.00,9.00,0.00,0.50,1.00,1.00
Endeavour (Australia),"2,200.00",1.40,24.90,1.80,57.00,0.82,0.80,344.00,0.00,0.50,1.00,1.00
